id,title,author,source,date,subjects
914,"Dolly Parton, George Jones, Marty Robbins, Barbara Mandrell, Wanda Jackson et al: Country Music Festival, Wembley Arena, London","Colin Irwin, Rob Partridge",Melody Maker,5 April 1975,"['wanda-jackson', 'george-jones', 'dolly-parton', 'marty-robbins']"
915,Tammy Wynette: Truckers' Choice,Rob Partridge,Melody Maker,19 April 1975,['tammy-wynette']
916,Charlie Rich: The Man And His Career,Martin Hawkins,Country Music People,May 1975,['charlie-rich']
917,"Bill Monroe: Grand Ole Opry, Newmarket, Suffolk",Karl Dallas,Melody Maker,3 May 1975,['bill-monroe']
918,"Bill Monroe: Greyfriars Monastery, Glasgow",Dave Laing,Sounds,10 May 1975,['bill-monroe']
919,"Charlie Rich: Hilton Hotel, Las Vegas",Steven Rosen,Sounds,24 May 1975,['charlie-rich']
1000,"Waylon Jennings, Jessi Colter: Civic Auditorium, Santa Monica CA",Stephen K. Peeples,Cash Box,31 May 1975,"['waylon-jennings', 'jessi-colter']"
1001,"The Eagles, Dan Fogelberg: Academy of Music, New York NY",Toby Goldstein,Billboard,31 May 1975,"['eagles-the', 'dan-fogelberg']"
1002,The Eagles: California Dreamin’,Tom Nolan,Phonograph Record,June 1975,['eagles-the']
1003,Olivia Newton-John: Have You Never Been Mellow (EMI EMC 3069) (36.00),Geoff Barton,Sounds,7 June 1975,['olivia-newton-john']
1004,"Jerry Jeff Walker & the Lost Gonzo Band: Palomino, Los Angeles CA",Stephen K. Peeples,Cash Box,5 July 1975,['jerry-jeff-walker']
1005,Waylon Jennings: Ramblin' Man,Stephen K. Peeples,Cash Box,12 July 1975,['waylon-jennings']
1006,"Ronnie Milsap: Palomino Club, Los Angeles CA",Stephen K. Peeples,Cash Box,12 July 1975,['ronnie-milsap']
1007,Nelson Picnic Brings Different Musical Elements Together,Stephen K. Peeples,Cash Box,26 July 1975,"['david-allan-coe', 'rita-coolidge', 'willie-nelson']"
1008,Charlie Rich: Every Time You Touch Me (I Get High) (Epic PE 33455),Dave Marsh,Rolling Stone,31 July 1975,['charlie-rich']
1009,Willie Nelson: Red Headed Stranger (Columbia),Nick Tosches,Creem,August 1975,['willie-nelson']
1010,Nashville:  Original Motion Picture Soundtrack (MCA),John Morthland,Creem,September 1975,[]
1011,"George Jones, Wanda Jackson: Hammersmith Odeon, London",Rob Partridge,Melody Maker,27 September 1975,"['wanda-jackson', 'george-jones']"
1012,"Johnny Cash: Royal Festival Hall, London",Colin Irwin,Melody Maker,27 September 1975,"['carter-family-the', 'johnny-cash']"
1013,Eagles: The Earthpeople's Band,Steven Rosen,Sounds,27 September 1975,['eagles-the']
1014,Willie Nelson: Red Headed Stranger,Mick Houghton,Let It Rock,October 1975,['willie-nelson']
1015,Emmylou Harris: The Prairie and the Sky,Mick Houghton,Let It Rock,November 1975,['emmylou-harris']
1016,Tanya Tucker: Country Girl,Rob Partridge,Melody Maker,1 November 1975,['tanya-tucker']
1017,"Emmylou Harris: New Victoria, London",Penny Valentine,Street Life,29 November 1975,['emmylou-harris']
1018,The Ozark Mountain Daredevils: Kansas City Stars,Todd Everett,Phonograph Record,December 1975,['ozark-mountain-daredevils']
1019,Linda Ronstadt: 'Heat Wave' – The Long Hot Sessions,Todd Everett,Rolling Stone,18 December 1975,['linda-ronstadt']
1100,Emmylou Harris: Elite Hotel (Reprise MS2236),Todd Everett,Phonograph Record,January 1976,['emmylou-harris']
1101,"Buck Owens & the Buckaroos, Susan Raye: Royal Albert Hall, London",Jonh Ingham,Sounds,24 January 1976,"['buck-owens', 'susan-raye']"
1102,The Soulful Return Of Gene Clark,Mick Brown,Sounds,24 January 1976,['gene-clark']
1103,"Waylon Jennings, Willie Nelson, Jessi Colter, and Tompall Glaser: Wanted! The Outlaws (RCA)",Nick Tosches,The Village Voice,26 January 1976,"['waylon-jennings', 'willie-nelson', 'jessi-colter', 'tompall-glaser']"
1104,Gary Stewart: Honky-Tonk Puree,Nick Tosches,Penthouse,February 1976,['gary-stewart']
1105,Dolly Parton is to Linda Ronstadt and Emmylou Harris what Chuck Berry was to the Rolling Stones and the Who,Barbara Charone,Sounds,21 February 1976,['dolly-parton']
1106,The Eagles: Their Greatest Hits 1971-1975  (Asylum) ****,Barbara Charone,Sounds,28 February 1976,['eagles-the']
1107,"Dolly, Tammy and Carl: In The Wembley Wild West",Philip Norman,The Sunday Times,April 1976,['dolly-parton']
