id,title,author,source,date,subjects,topic,type,href
c601,Karen Dalton: In My Own Time (Just Sunshine/Paramount),Danny Goldberg,Rolling Stone,22 July 1971,['karen-dalton'],country,Review,/Library/SearchLinkRedirect?folder=karen-dalton-iin-my-own-timei-just-sunshineparamount
c602,Michael Nesmith,Gene Guerrero,The Great Speckled Bird,20 September 1971,"['monkees-the', 'michael-nesmith']",country,Interview,/Library/SearchLinkRedirect?folder=michael-nesmith-2
c603,"Johnny Cash, Carl Perkins, the Carter Family, the Statler Brothers: Queen Elizabeth Hall, London",Richard Green,New Musical Express,25 September 1971,"['carter-family-the', 'johnny-cash', 'carl-perkins', 'statler-brothers-the']",country,Live Review,/Library/SearchLinkRedirect?folder=johnny-cash-carl-perkins-the-carter-family-the-statler-brothers-queen-elizabeth-hall-london
c604,Cash Conference,Richard Green,New Musical Express,25 September 1971,['johnny-cash'],country,Report,/Library/SearchLinkRedirect?folder=cash-conference
c605,"Charley Pride, Lynn Anderson: Oakland Coliseum, Oakland CA",Philip Elwood,The San Francisco Examiner,30 October 1971,"['lynn-anderson', 'charley-pride']",country,Live Review,/Library/SearchLinkRedirect?folder=charley-pride-lynn-anderson-oakland-coliseum-oakland-ca
c606,Opry,Gene Guerrero,The Great Speckled Bird,1 November 1971,[],country,Report,/Library/SearchLinkRedirect?folder=opry
c607,"Commander Cody & His Lost Planet Airmen, Shanti: The Ash Grove, Los Angeles CA",Richard Cromelin,Los Angeles Times,12 November 1971,"['commander-cody', 'shanti']",country,Live Review,/Library/SearchLinkRedirect?folder=commander-cody--his-lost-planet-airmen-shanti-the-ash-grove-los-angeles-ca
c608,I Love The Byrds But...,Kim Fowley,Phonograph Record,January 1972,['byrds-the'],country,Comment,/Library/SearchLinkRedirect?folder=i-love-the-byrds-but
c609,"Johnny Cash, Carter Family, Statler Brothers, Carl Perkins: Civic Center, Atlanta GA",Gene Guerrero,The Great Speckled Bird,14 February 1972,"['carter-family-the', 'johnny-cash', 'carl-perkins', 'statler-brothers-the']",country,Live Review,/Library/SearchLinkRedirect?folder=johnny-cash-carter-family-statler-brothers-carl-perkins-civic-center-atlanta-ga
c610,"Charley Pride, Tammy Wynette and George Jones: Municipal Auditorium, Atlanta GA",Gene Guerrero,The Great Speckled Bird,31 February 1972,"['george-jones', 'tammy-wynette', 'charley-pride']",country,Live Review,/Library/SearchLinkRedirect?folder=charley-pride-tammy-wynette-and-george-jones-municipal-auditorium-atlanta-ga
c611,Kris Kristofferson and Rita Coolidge: Kris and the Delta lady,Rosalind Russell,Disc,13 May 1972,"['rita-coolidge', 'kris-kristofferson']",country,Interview,/Library/SearchLinkRedirect?folder=kris-kristofferson-and-rita-coolidge-kris-and-the-delta-lady
c612,The Everly Brothers: Roots,Gene Guerrero,The Great Speckled Bird,12 June 1972,['everly-brothers-the'],country,Interview,/Library/SearchLinkRedirect?folder=the-everly-brothers-roots
c613,Charlie Rich: Rich and Mellow,Bill Millar,Record Mirror,12 August 1972,['charlie-rich'],country,Discography,/Library/SearchLinkRedirect?folder=charlie-rich-rich-and-mellow
c614,"Seatrain, Redwing: The Whisky, Los Angeles, CA",Jeff Walker,Phonograph Record,September 1972,"['seatrain', 'redwing']",country,Live Review,/Library/SearchLinkRedirect?folder=seatrain-redwing-the-whisky-los-angeles-ca
c615,Rocking Chair,Michael Lydon,Fusion,September 1972,"['lightnin-hopkins', 'hank-snow', 'lester-young', 'wilf-carter-montana-slim']",country,Column,/Library/SearchLinkRedirect?folder=rocking-chair
c616,"Johnny Cash, Carter Family, Statler Brothers, Carl Perkins: Royal Albert Hall, London",Andrew Means,Melody Maker,7 October 1972,"['carter-family-the', 'johnny-cash', 'carl-perkins', 'statler-brothers-the']",country,Live Review,/Library/SearchLinkRedirect?folder=johnny-cash-carter-family-statler-brothers-carl-perkins-royal-albert-hall-london
c617,Dorsey Burnette: Here and Now (Capitol 11094),Gene Sculatti,Fusion,November 1972,['dorsey-burnette'],country,Review,/Library/SearchLinkRedirect?folder=dorsey-burnette-ihere-and-nowi-capitol-11094
c618,Michael Nesmith: The Hits Just Keep On Comin' (RCA),Jonh Ingham,New Musical Express,13 January 1973,['michael-nesmith'],country,Review,/Library/SearchLinkRedirect?folder=michael-nesmith-ithe-hits-just-keep-on-comini-rca
c619,Johnny Paycheck: Somebody Loves Me (Epic),Roger St. Pierre,New Musical Express,27 January 1973,['johnny-paycheck'],country,Review,/Library/SearchLinkRedirect?folder=johnny-paycheck-isomebody-loves-mei-epic
c700,Rowan Brothers: Rowan Brothers (CBS),Jonh Ingham,New Musical Express,27 January 1973,['rowan-brothers-the'],country,Review,/Library/SearchLinkRedirect?folder=rowan-brothers-irowan-brothersi-cbs
c701,Charley Pride,Gene Guerrero,The Great Speckled Bird,1 February 1973,['charley-pride'],country,Interview,/Library/SearchLinkRedirect?folder=charley-pride-2
c702,"Glen Campbell: Carnegie Hall, New York NY",Ian Dove,The New York Times,23 February 1973,['glen-campbell'],country,Live Review,/Library/SearchLinkRedirect?folder=glen-campbell-carnegie-hall-new-york-ny
c703,Shower of Stars: George Jones & Tammy Wynette,Gene Guerrero,The Great Speckled Bird,5 March 1973,"['george-jones', 'tammy-wynette']",country,Profile,/Library/SearchLinkRedirect?folder=shower-of-stars-george-jones--tammy-wynette
c704,The Eagles: Takin' It Easy,Danny Holloway,New Musical Express,10 March 1973,['eagles-the'],country,Profile and Interview,/Library/SearchLinkRedirect?folder=the-eagles-takin-it-easy
c705,Eagles Make It Easy,Jerry Gilbert,Sounds,10 March 1973,['eagles-the'],country,Interview,/Library/SearchLinkRedirect?folder=eagles-make-it-easy
c706,"Tammy Wynette and George Jones: Philharmonic Hall, New York NY",Ian Dove,The New York Times,27 March 1973,"['george-jones', 'tammy-wynette']",country,Live Review,/Library/SearchLinkRedirect?folder=tammy-wynette-and-george-jones-philharmonic-hall-new-york-ny
c707,Gram Parsons: GP (Reprise),Charlie Gillett,New Musical Express,31 March 1973,['gram-parsons'],country,Review,/Library/SearchLinkRedirect?folder=gram-parsons-igpi-reprise-2
c708,Gram Parsons: Parsons Knows...,Loraine Alterman,Melody Maker,7 April 1973,"['emmylou-harris', 'gram-parsons']",country,Interview,/Library/SearchLinkRedirect?folder=gram-parsons-parsons-knows
c709,Joe South: A Look Inside (Capitol),John Swenson,The Village Voice,12 April 1973,['joe-south'],country,Review,/Library/SearchLinkRedirect?folder=joe-south-ia-look-insidei-capitol
c710,"Conway Twitty, Lorette Lynn, Nat Stuckey, Freddie Hart: San Jose Municipal Auditorium, San Jose CA",Philip Elwood,The San Francisco Examiner,20 April 1973,"['loretta-lynn', 'conway-twitty', 'freddie-hart', 'nat-stuckey']",country,Live Review,/Library/SearchLinkRedirect?folder=conway-twitty-lorette-lynn-nat-stuckey-freddie-hart-san-jose-municipal-auditorium-san-jose-ca
c711,The Eagles: Desperado (Asylum),Paul Gambaccini,Rolling Stone,10 May 1973,['eagles-the'],country,Review,/Library/SearchLinkRedirect?folder=the-eagles-idesperadoi-asylum
c712,Parsons the Country Preacher,Roy Carr,New Musical Express,12 May 1973,"['byrds-the', 'flying-burrito-brothers', 'international-submarine-band', 'gram-parsons']",country,Interview,/Library/SearchLinkRedirect?folder=parsons-the-country-preacher
c713,Jerry Lee Lewis Comes Back,Gene Guerrero,The Great Speckled Bird,21 May 1973,['jerry-lee-lewis'],country,Profile,/Library/SearchLinkRedirect?folder=jerry-lee-lewis-comes-back
c714,Gram Parsons: Take Your Partners and Away You Go (One Step back Two Steps Forward),Phil Hardy,Let It Rock,July 1973,"['byrds-the', 'flying-burrito-brothers', 'gram-parsons']",country,Essay,/Library/SearchLinkRedirect?folder=gram-parsons-take-your-partners-and-away-you-go-one-step-back-two-steps-forward
c715,Joe Simon: Country Joe,Roger St. Pierre,New Musical Express,28 July 1973,['joe-simon'],country,Report and Interview,/Library/SearchLinkRedirect?folder=joe-simon-country-joe
c716,"Commander Cody: The Early Sound Of ""Now"" Music",Lillian Roxon,New York Sunday News,29 July 1973,['commander-cody'],country,Interview,/Library/SearchLinkRedirect?folder=commander-cody-the-early-sound-of-now-music
c717,"Waylon Jennings: You Gotta Be A Man First, 'Fore You Can Be Anything...",Michael Watts,Melody Maker,11 August 1973,['waylon-jennings'],country,Interview,/Library/SearchLinkRedirect?folder=waylon-jennings-you-gotta-be-a-man-first-fore-you-can-be-anything
